 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR105160,1,0,0,1,0,0,0,0,1,0,1,1,1
MNXR105188,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105190,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR105195,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105198,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105270,1,0,0,1,0,0,0,1,0,0,1,1,1
MNXR105271,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105277,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105278,1,0,0,0,1,1,0,0,0,0,0,0,0
MNXR105279,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105280,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR105281,1,0,1,1,0,0,0,0,0,1,1,0,0
MNXR105373,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR106519,1,0,1,1,1,1,1,0,0,1,1,1,1
MNXR106884,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR106886,1,0,0,0,0,0,0,0,1,0,0,0,0
MNXR107082,1,0,1,1,1,1,1,1,0,1,1,0,0
MNXR107287,1,0,0,1,0,0,1,0,0,0,1,1,1
MNXR107490,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR108106,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR108734,1,1,1,1,1,1,1,0,1,1,1,1,1
MNXR108735,1,1,1,1,1,1,0,1,0,1,1,1,1
MNXR109033,1,0,1,1,1,1,1,1,0,1,1,1,1
MNXR109597,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR111765,1,0,1,1,1,1,1,1,0,1,1,1,1
MNXR113545,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR115917,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR118585,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR123213,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR123407,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR123979,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR124001,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR124046,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR125830,1,1,0,1,0,1,1,1,1,1,1,0,0
MNXR126089,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR126234,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR126511,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR128125,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR132656,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR133772,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR133777,1,0,1,1,0,1,1,1,1,1,1,1,1
