MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR190948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ccb:Clocel_1840 or gba:J421_3839 or tdi:AUW17_02515 or tpx:Turpa_2698,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn01515_c
MNXR191232,N/A,N/A,N/A,N/A,N/A,N/A,5567423 or 5569239,N/A,5567423 or 5569239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BISPHOSPHOGLYCERATE_MUTASE_RXN,N/A,BISPHOSPHOGLYCERATE_MUTASE_RXN,N/A
MNXR110999,N/A,N/A,N/A,5566768 or 5578353 or 5578446,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R07335__in,N/A,N/A,N/A,N/A,N/A,N/A
MNXR99273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR192969,N/A,N/A,N/A,N/A,N/A,5569945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_21220,N/A,N/A,N/A,N/A
MNXR96717,5574162 or 5576723 or 5576726 or 5576995 or 5576996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CHTNASE, CHTNASEe",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR103566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RE1904C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR103709,5574529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RE2640C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR151206,N/A,N/A,N/A,N/A,N/A,N/A,5574438,N/A,5574438,asul:DFR86_00625 or roa:Pd630_LPD05499 or ttl:TtJL18_2307,N/A,N/A,N/A,N/A,N/A,N/A,RXN_12072,N/A,RXN_12072,rxn04598_c
MNXR99189,5571706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FACOAL2252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR99461,5567031,5567031,N/A,N/A,Unknown,N/A,N/A,N/A,N/A,N/A,r0407,SEDOBISALDOL_RXN,N/A,N/A,"rxn01334_c0, rxn01334_d0",N/A,N/A,N/A,N/A,N/A
MNXR119777,N/A,5566934 or 5569559 or 5580214,N/A,N/A,N/A,5566934 or 5569559 or 5580214,5563690 or 5566934 or 5569559,N/A,5563690 or 5566934 or 5569559,N/A,N/A,RXN_1602,N/A,N/A,N/A,RXN_1602,RXN_1602,N/A,RXN_1602,N/A
MNXR105923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR104996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5563688,5563688,pcp:JM49_15295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R02382,RXN_5821,rxn01715_c
MNXR144945,N/A,N/A,N/A,N/A,N/A,N/A,5568696 or 5573442 or 5574766 or 5576631,N/A,5568696 or 5573442 or 5574766 or 5576631,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRANS_RXN_21,N/A,TRANS_RXN_21,N/A
MNXR192368,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5565442,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R01497,N/A,N/A
MNXR164942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR103627,5566412,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RE2150R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR116125,N/A,5570153 or 5573735 or 5574742 or 5578775,N/A,N/A,N/A,5570153 or 5573735 or 5574742 or 5578775,5573735,N/A,5573735,N/A,N/A,PHOSCHOL_RXN,N/A,N/A,N/A,PHOSCHOL_RXN,PHOSCHOL_RXN,N/A,PHOSCHOL_RXN,N/A
MNXR115436,N/A,110676788 or 5567804 or 5568625 or 5577354,N/A,N/A,N/A,110676788 or 5567804 or 5568625 or 5577354,N/A,N/A,N/A,N/A,N/A,3.4.11.5_RXN,N/A,N/A,N/A,3.4.11.5_RXN,N/A,N/A,N/A,N/A
MNXR100317,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R_EX_glyb_e, R_GLYBtex",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR144963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R03425__in,N/A,N/A,N/A,N/A,N/A,N/A
MNXR148847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110681173,110681173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R05941,R05941,N/A
MNXR100030,5570787,5568128 or 5570787,5576131,5565246 or 5570787 or 5572005 or 5572671 or 5579278,Unknown,5568128 or 5570787,5570787 or 5579278,110674127 or 5570787 or 5572005,5570787 or 5579278,cyt:cce_2244 or fcn:FN3523_0156 or fper:ACH24_05655 or fpj:LA02_629 or frm:BBG19_0147 or frt:F7308_0165 or jag:GJA_4723 or ppn:Palpr_0512,GLUNm,GLUTAMIN_RXN,"GLUNpp, R_GLUNpp",R00256__in,"R_rxn00189_c0, rxn00189_c0",GLUTAMIN_RXN,GLUTAMIN_RXN,R00256,GLUTAMIN_RXN,rxn30680_c
MNXR145807,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R00087__in,N/A,N/A,N/A,N/A,N/A,N/A
MNXR173705,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"rxn16300_c0, rxn16300_r0",N/A,N/A,N/A,N/A,N/A
MNXR145237,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R_rxn02503_c0, R_rxn02503_m0",N/A,N/A,N/A,N/A,N/A
MNXR195420,N/A,N/A,5575209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"IVCS, R_IVCS",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR99406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"FAS181, R_FAS181",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR97432,5569430,5569430,5569430,N/A,Unknown,5569430,5569430,5569430,5569430,hag:BB497_05880 or hhh:CLM76_07955,DHPM1,DIHYDROPYRIMIDINASE_RXN,"DHPM1, R_DHPM1",N/A,"R_rxn01626_c0, R_rxn01626_r0, rxn01626_c0, rxn01626_r0",DIHYDROPYRIMIDINASE_RXN,DIHYDROPYRIMIDINASE_RXN,R02269,DIHYDROPYRIMIDINASE_RXN,rxn31924_c
MNXR150526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bsto:C0V70_09315 or cace:CACET_c08980 or cle:Clole_3640 or dal:Dalk_3893 or dva:DAD186_17980 or hya:HY04AAS1_0433 or ppr:PBPRA0468 or sks:FCN78_11180 or vhr:AL538_07305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn14402_c
MNXR211182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR106328,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR158520,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR158556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
