MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR112800,N/A,N/A,N/A,CBJ26963.1 or CBN74530.1 or CBN76987.1 or CBN78458.1,N/A,N/A,N/A,N/A,CBJ26963.1 or CBN74530.1 or CBN76987.1 or CBN78458.1,aad:TC41_0895 or ahm:TL08_15550 or ana:all0737 or chy:CHY_0560 or git:C6V83_10585 or goc:CXX93_12790 or hlc:CHINAEXTREME10590 or ipo:Ilyop_2474 or mauu:NCTC10437_03774 or mche:BB28_13670 or mcht:MCHIJ_41150 or mdu:MDUV_44170 or mhad:B586_16720 or mhib:MHIB_16910 or mkr:MKOR_10210 or mphl:MPHLCCUG_02876 or msal:DSM43276_02439 or mva:Mvan_1832 or mvq:MYVA_2637 or mye:AB431_13555 or oli:FKG96_04335 or psim:KR76_26690 or sali:L593_11230 or snr:SNOUR_02560 or sphz:E3D81_00260 or tfa:BW733_11380 or tsm:ASU32_13775,N/A,N/A,N/A,"R09372__cytop, R09372__mito",N/A,N/A,N/A,N/A,R09372,rxn16213_c
MNXR188235,N/A,CBN80294.1,N/A,CBN80294.1,CBJ25880.1 or CBN75259.1 or CBN78546.1 or CBN80294.1,CBN80294.1,N/A,CBN80294.1,CBN80294.1,N/A,N/A,OHMETPYRKIN_RXN,R_HMPK1,"R03471__chlo, R03471__cytop",R_rxn02484_d0,OHMETPYRKIN_RXN,N/A,R03471,OHMETPYRKIN_RXN,N/A
MNXR119101,CBJ29775.1 or CBN75121.1 or CBN75188.1 or CBN78066.1,CBJ25798.1 or CBJ26621.1 or CBJ26656.1 or CBJ27128.1 or CBJ29775.1 or CBJ31328.1 or CBJ33474.1 or CBN75121.1 or CBN75175.1 or CBN75188.1 or CBN78066.1 or CBN78203.1 or CBN79068.1,N/A,N/A,N/A,CBJ25798.1 or CBJ26621.1 or CBJ26656.1 or CBJ27128.1 or CBJ29775.1 or CBJ31328.1 or CBJ33474.1 or CBN75121.1 or CBN75175.1 or CBN75188.1 or CBN78066.1 or CBN78203.1 or CBN79068.1,CBJ26621.1,N/A,CBJ26621.1,N/A,RXN-15043,RXN_15043,N/A,N/A,N/A,RXN_15043,RXN_15043,N/A,RXN_15043,N/A
MNXR98640,N/A,N/A,spontaneous,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R_H2O2tex,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR114405,N/A,CBJ26608.1,N/A,N/A,N/A,CBJ26608.1,N/A,N/A,CBJ26608.1 or CBN76757.1,N/A,N/A,RXN0_4401,N/A,N/A,N/A,RXN0_4401,N/A,N/A,RXN0_4401,N/A
MNXR123134,CBN76727.1 or CBN77121.1 or CBN77813.1 or CBN77814.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN0-2141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR146470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fte:Fluta_3222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn38677_c
MNXR190046,N/A,CBJ25625.1 or CBJ27079.1 or CBJ27936.1 or CBN74982.1,N/A,N/A,N/A,CBJ25625.1 or CBJ27079.1 or CBJ27936.1 or CBN74982.1,N/A,N/A,N/A,N/A,N/A,RXN_20564,N/A,N/A,N/A,RXN_20564,N/A,N/A,N/A,N/A
MNXR96940,N/A,N/A,CBJ25979.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R_CTECOAI6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR117057,N/A,CBJ25860.1 or CBN74971.1,N/A,N/A,N/A,CBJ25860.1 or CBN74971.1,N/A,N/A,CBN74971.1,N/A,N/A,RXN_11634,N/A,N/A,N/A,RXN_11634,N/A,N/A,RXN_11633,N/A
MNXR117195,N/A,CBJ27147.1 or CBJ49095.1 or CBN79606.1 or CBN79695.1,N/A,N/A,N/A,CBJ27147.1 or CBJ49095.1 or CBN79606.1 or CBN79695.1,CBN79695.1,N/A,CBN79695.1,N/A,N/A,RXN_11856,N/A,N/A,N/A,RXN_11856,RXN_11856,N/A,RXN_11856,N/A
MNXR95085,N/A,N/A,N/A,CBN75443.1,N/A,N/A,N/A,N/A,CBN75443.1,cap:CLDAP_30940,N/A,N/A,N/A,R04909__cytop,N/A,N/A,N/A,N/A,R04909,rxn03360_c
MNXR105153,N/A,CBN76561.1,N/A,CBN76561.1,CBN76561.1,CBN76561.1,CBN76561.1,CBN76561.1,CBN76561.1,N/A,N/A,UREASE_RXN,N/A,R00131__cytop,"R_rxn00101_c0, rxn00101_c0",UREASE_RXN,UREASE_RXN,R00131,UREASE_RXN,N/A
MNXR184290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_19022,N/A,N/A,N/A,N/A
