Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
phenyllactate (PLA),,,,,,0,MNXM726664;MNXM726662;MNXM726663
pipecolate,Pipecolic acid,HMDB0000070,849,C00408,OC(=O)C1CCCCN1,1,MNXM684
propionylcarnitine (C3),,,,,,0,MNXM1105887
pyroglutamine,Pyroglutamine,HMDB0062558,11984188,,N[C@H]1CCC(=O)NC1=O,1,MNXM680978
S-adenosylhomocysteine (SAH),,,,,,0,MNXM1102167
S-carboxymethyl-L-cysteine,S-Carboxymethyl-L-cysteine,HMDB0029415,1080,,NC(CSCC(O)=O)C(O)=O,1,MNXM727008
S-methylcysteine,Methylcysteine,HMDB0002108,24417,C22040,CSC[C@@H](N)C(O)=O,1,MNXM1372308
S-methylglutathione,,,,,,0,MNXM81311
serine,Serine,HMDB0000187,5951,C00065,N[C@@H](CO)C(O)=O,1,MNXM737786
spermidine,Spermidine,HMDB0001257,1102,C00315,NCCCCNCCCN,1,MNXM124
stachydrine,Proline betaine,HMDB0004827,115244,C10172,C[N+]1(C)CCC[C@H]1C([O-])=O,1,MNXM1100081
sulfate,Sulfate,HMDB0001448,1117,C00059,OS(O)(=O)=O,1,MNXM58
taurocyamine,Taurocyamine,HMDB0003584,68340,C01959,NC(N)=NCCS(O)(=O)=O,1,MNXM3363
threonine,L-Threonine,HMDB0000167,6288,C00188,C[C@@H](O)[C@H](N)C(O)=O,1,MNXM142
hydroxyproline,4-Hydroxyproline,HMDB0000725,5810,C01157,O[C@H]1CN[C@@H](C1)C(O)=O,1,MNXM56932
trans-urocanate,Trans-urocanate,HMDB0062562,1178,,OC(=O)C=CC1=CN=CN1,1,MNXM1108290
tryptamine,Tryptamine,HMDB0000303,1150,C00398,NCCC1=CNC2=C1C=CC=C2,1,MNXM806
tyramine,Tyramine,HMDB0000306,5610,C00483,NCCC1=CC=C(O)C=C1,1,MNXM603
tyramine O-sulfate,Tyramine-O-sulfate,HMDB0006409,153005,,NCCC1=CC=C(OS(O)(=O)=O)C=C1,1,MNXM13201
tyrosine,L-Tyrosine,HMDB0000158,6057,C00082,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1,MNXM76
valine,L-Valine,HMDB0000883,6287,C00183,CC(C)[C@H](N)C(O)=O,1,MNXM199
2-methylcitrate,2-Methylcitric acid,HMDB0000379,515,C02225,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,1,MNXM741276
3-phosphoglycerate,3-Phosphoglyceric acid,HMDB0000807,724,C00597,OC(COP(O)(O)=O)C(O)=O,1,MNXM727605
arabitol/xylitol,,,,,,0,MNXM1099590
arabonate/xylonate,,,,,,0,MNXM2654;MNXM89218;MNXM1105052;MNXM8831
galactonate,Galactonic acid,HMDB0000565,128869,C00880,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O,1,MNXM1734
gluconate,Gluconic acid,HMDB0000625,10690,C00257,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1,MNXM341
malate,Malic acid,HMDB0000156,222656,C00149,O[C@@H](CC(O)=O)C(O)=O,1,MNXM1107194
maltose,D-Maltose,HMDB0000163,10991489,C00208,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM1106000
succinate,Succinic acid,HMDB0000254,1738118,C00042,OC(=O)CCC(O)=O,1,MNXM25;MNXM683025
sucrose,Sucrose,HMDB0000258,5988,C00089,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1,MNXM1104180
trehalose,Trehalose,HMDB0000975,7427,C01083,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM1106024
6-phosphogluconate,6-Phosphogluconic acid,HMDB0001316,91493,C00345,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1,MNXM734080
alpha-ketoglutarate,Oxoglutaric acid,HMDB0000208,51,C00026,OC(=O)CCC(=O)C(O)=O,1,MNXM1368744
cis-aconitate,cis-Aconitic acid,HMDB0000072,643757,C00417,OC(=O)C\C(=C\C(O)=O)C(O)=O,1,MNXM1092518
citramalate,Citramalic acid,HMDB0000426,1081,C00815,CC(O)(CC(O)=O)C(O)=O,1,MNXM1364397
citrate,Citric acid,HMDB0000094,311,C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O,1,MNXM1107752
erythritol,Erythritol,HMDB0002994,222285,C00503,OC[C@H](O)[C@H](O)CO,1,MNXM1371602
erythronate,Erythronic acid,HMDB0000613,2781043,,OC[C@@H](O)[C@@H](O)C(O)=O,1,MNXM724639
fructose,D-Fructose,HMDB0000660,439709,C00095,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,1,MNXM729624;MNXM729625;MNXM729626
fumarate,Glycerol,HMDB0000131,753,C00116,OCC(O)CO,1,MNXM737340
"galactono-1,4-lactone",,,,,,0,MNXM1105119
glucose,D-Glucose,HMDB0000122,64689,C00031,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM7381
glycerate,Glyceric acid,HMDB0000139,439194,C00258,OC[C@@H](O)C(O)=O,1,MNXM1136254
isocitrate,Isocitric acid,HMDB0000193,1198,C00311,OC(C(CC(O)=O)C(O)=O)C(O)=O,1,MNXM89661
isomaltose,Isomaltose,HMDB0002923,10357,C00252,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM1107787
itaconate (methylenesuccinate),,,,,,0,MNXM1747
lactate,Lactic acid,HMDB0000190,107689,C00186,C[C@H](O)C(O)=O,1,MNXM733758
maleate,Maleic acid,HMDB0000176,444266,C01384,OC(=O)\C=C/C(O)=O,1,MNXM1239
mannitol/sorbitol,,,,,,0,MNXM737716
mannose,D-Mannose,HMDB0000169,185698,C00159,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,1,MNXM1136409;MNXM731379
myo-inositol,myo-Inositol,HMDB0000211,,C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,1,MNXM1105941
oxalate (ethanedioate),,,,,,0,MNXM291
phosphoenolpyruvate (PEP),,,,,,0,MNXM73
pyruvate,Pyruvic acid,HMDB0000243,1060,C00022,CC(=O)C(O)=O,1,MNXM23
ribonate (ribonolactone),,,,,,0,MNXM80901;MNXM80897
ribose,D-Ribose,HMDB0000283,5779,C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,1,MNXM732920
scyllo-inositol,scyllo-Inositol,HMDB0006088,892,C06153,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM1371100
tartronate (hydroxymalonate),,,,,,0,MNXM2238
trans-aconitate,trans-Aconitic acid,HMDB0000958,444212,C02341,OC(=O)C\C(=C/C(O)=O)C(O)=O,1,MNXM728255
UDP-glucose,Uridine diphosphate glucose,HMDB0000286,8629,C00029,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM1364019
UDP-N-acetylglucosamine,Uridine diphosphate-N-acetylglucosamine,HMDB0000290,445675,C00043,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1,MNXM1104529
acetylphosphate,Acetylphosphate,HMDB0001494,186,C00227,CC(=O)OP(O)(O)=O,1,MNXM280
carnitine,L-Carnitine,HMDB0000062,10917,C00487,C[N+](C)(C)C[C@H](O)CC(O)=O,1,MNXM731667
dehydroascorbate,Dehydroascorbic acid,HMDB0001264,440667,C05422,[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO,1,MNXM1108062
FAD,FAD,HMDB0001248,643975,C00016,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,1,MNXM1364149
FMN,Flavin mononucleotide,HMDB0001520,643976,C00061,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,1,MNXM1364147;MNXM1364148
nicotinamide,Niacinamide,HMDB0001406,936,C00153,NC(=O)C1=CC=CN=C1,1,MNXM216
NAD,NAD,HMDB0000902,5892,C00003,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1,MNXM64096
nicotinamide ribonucleotide (NMN),,,,,,0,MNXM355;MNXM1108016
nicotinamide riboside,Nicotinamide riboside,HMDB0000855,439924,C03150,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,MNXM1101283
nicotinate,Nicotinic acid,HMDB0001488,938,C00253,OC(=O)C1=CN=CC=C1,1,MNXM274
nicotinate ribonucleoside,Nicotinic acid ribonucleoside,HMDB0006809,161234,C05841,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC=CC(=C1)C(O)=O,1,MNXM1102169
pantothenate (Vitamin B5),,,,,,0,MNXM1371612;MNXM67591
pyridoxal,Pyridoxal,HMDB0001545,1050,C00250,CC1=NC=C(CO)C(C=O)=C1O,1,MNXM311
pyridoxamine,Pyridoxamine,HMDB0001431,1052,C00534,CC1=C(O)C(CN)=C(CO)C=N1,1,MNXM548
pyridoxine (Vitamin B6),,,,,,0,MNXM419
thiamin (Vitamin B1),,,,,,0,MNXM730135
alpha-tocopherol,alpha-Tocopherol,HMDB0001893,14985,C02477,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,1,MNXM2741
biopterin,Biopterin,HMDB0000468,445040,C06313,C[C@H](O)[C@H](O)C1=CNC2=NC(N)=NC(=O)C2=N1,1,MNXM1363669
delta-tocopherol,delta-Tocopherol,HMDB0002902,92094,C14151,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=CC(C)=C2O1,1,MNXM5121
deoxycarnitine,4-Trimethylammoniobutanoic acid,HMDB0001161,725,C01181,C[N+](C)(C)CCCC([O-])=O,1,MNXM738927
