Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
"7,8-Dehydro-beta-micropteroxanthin","7,8-Dehydro-beta-micropteroxanthin",HMDB0038506,131752385,,C\C(CCCO)=C/C=C/C=C(\C)/C=C/C=C(\C)C#CC1=C(C)CC(O)CC1(C)C,1,MNXM118502
Armillaribin,Armillaribin,HMDB0031672,131751179,,COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4CC(C=O)=C23)C(C)=C1,1,MNXM119333
"N-(1-adamantyl)-4-(1,3-benzodioxol-5-yl)-4-hydroxy-1-piperidinecarboxamide",,,,,,0,MNXM571441
"5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3,4,5-trihydroxyoxan-2-yl)-4H-chromen-4-one",,,,,,0,MNXM62302
Nobiletin,Nobiletin,HMDB0029540,72344,C10112,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,1,MNXM64815
"(3S,5R,10R,12S,14S,15R,16R)-3,5,10,14,15-pentahydroxy-12,16-dimethylicosan-2-one",,,,,,0,MNXM7926
S-(2-carboxy-2-methylbut-3-en-2-yl)glutathione(2-),,,,,,0,MNXM162492
Lasiocarpine,,,,,,0,MNXM59779
"N-[(2S,3R)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-(methylaminomethyl)-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-2-pyrazinecarboxamide",,,,,,0,MNXM579692
Naltrindole,Naltrindole,,96024345,C18128,,1,MNXM737772
Eplerenone,Eplerenone,HMDB0014838,443872,C12512,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC,1,MNXM1567496;MNXM52381
Liatrin,(S)-Pterosin D,HMDB0035223,5320783,,CC1=C(CCO)C(C)=C2C(=C1)C(O)C(C)(C)C2=O,1,MNXM60051
8'-apo-beta-carotenol,8'-apo-beta-carotenol,,5280991,C06733,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CO)C(C)(C)CCC1,1,MNXM735241
Aplysinoplide C;(+)-Aplysinoplide C,,,,,,0,N/A
Octacosanoic acid,Octacosanoic acid,HMDB0002348,10470,,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1,MNXM62506
"(S)-3',4',5,7-Tetrahydroxy-5',8-diprenylflavanone","(S)-3',4',5,7-Tetrahydroxy-5',8-diprenylflavanone",HMDB0038868,480770,,CC(C)=CCC1=CC(=CC(O)=C1O)C1CC(=O)C2=C(O)C=C(O)C(CC=C(C)C)=C2O1,1,MNXM54346
Adenosine phosphosulfate,Adenosine phosphosulfate,HMDB0001003,10238,C00224,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O,1,MNXM1103086
3-Deoxy-3-azido-25-hydroxyvitamin D3,,,,,,0,MNXM1375744;MNXM36400
Solacapine,,,,,,0,MNXM82398
Pseurotin A;(-)-Pseurotin A,,,,,,0,N/A
"2-methoxy-N-[(5R,6S,9R)-5-methoxy-3,6,9-trimethyl-2-oxo-8-propyl-11-oxa-3,8-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]acetamide",,,,,,0,MNXM480500
"(2S,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-8-(3-methylbut-1-ynyl)-2-[[methyl(5-pyrimidinylmethyl)amino]methyl]-3,4-dihydro-2H-pyrido[2,3-b][1,5]oxazocin-6-one",,,,,,0,MNXM171532
LysoPE(0:0/16:1(9Z)),,,,,,0,MNXM1132942
Delcosine,,,,,,0,MNXM48957
Flavin Mononucleotide,Flavin mononucleotide,HMDB0001520,643976,C00061,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,1,MNXM53407
5-Methyldihydrofolic acid,5-Methyldihydrofolic acid,HMDB0006486,6453871,,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=C1C(=O)N=C(N)N2,1,MNXM1369294;MNXM1369295
2-dehydroecdysone,,,,,,0,MNXM34983
"3-hydroxy-2-methyl-3-phytyl-2,3-dihydro-1,4-naphthoquinone","3-hydroxy-2-methyl-3-phytyl-2,3-dihydro-1,4-naphthoquinone",,5280540,C02785,C/C(=C\CC1(O)C(=O)c2ccccc2C(=O)C1C)CCC(C)CCC(C)CCCC(C)C,1,MNXM4333
methylprednisolone succinate,,,,,,0,MNXM157930
"3alpha,7alpha,12alpha-trihydroxy-5alpha-cholan-24-yl sulfate","3alpha,7alpha,12alpha-trihydroxy-5alpha-cholan-24-yl sulfate",,5200193,C16259,C(CCCOS(=O)(=O)O)1CC23(C(O)21C)1(C)CC(O)C1C3O,1,MNXM4349
candelalide B,,,,,,0,MNXM103483
"3-(3,5-dimethyl-4-isoxazolyl)-1-[[(8S,9S)-6-[(2R)-1-hydroxypropan-2-yl]-8-methyl-5-oxo-10-oxa-1,6,14,15-tetrazabicyclo[10.3.0]pentadeca-12,14-dien-9-yl]methyl]-1-methylurea",,,,,,0,MNXM482542
"LysoPE(0:0/18:2(9Z,12Z))",,,,,,0,MNXM60782
LSM-30675,,,,,,0,MNXM529421
"N-[(2R,3R,6R)-2-(hydroxymethyl)-6-[2-oxo-2-(4-phenylanilino)ethyl]-3-oxanyl]-3-(1-piperidinyl)propanamide",,,,,,0,MNXM578330
LysoPE(0:0/18:1(9Z)),,,,,,0,MNXM1369649
Delcorine,,,,,,0,MNXM1369777;MNXM1369778
11-beta-Hydroxyandrosterone-3-glucuronide,11-beta-Hydroxyandrosterone-3-glucuronide,HMDB0010351,1864,C05643,[H][C@@]12CCC(=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,1,MNXM734233
"1-[[(2S,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-8-(3-pyridinyl)-3,4-dihydro-2H-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-1-methyl-3-phenylurea",,,,,,0,MNXM341465
dasabuvir(1-),,,,,,0,MNXM1107854
"(1R)-N-(3,5-dimethyl-4-isoxazolyl)-1-(hydroxymethyl)-7-methoxy-2-(1-oxopropyl)-1'-spiro[3,9-dihydro-1H-pyrido[3,4-b]indole-4,4'-piperidine]carboxamide",,,,,,0,MNXM169637
PS(16:1(9Z)/0:0),,,,,,0,MNXM78629
Zygadenine,,,,,,0,MNXM89467
LysoPC(16:1(9Z)),,,,,,0,MNXM32519
"2-[2-[4-[2-hydroxy-3-(2-prop-2-enylphenoxy)propyl]-1-piperazinyl]ethyl]benzo[de]isoquinoline-1,3-dione",,,,,,0,MNXM477442
"N-[(5S,6S,9S)-5-methoxy-3,6,9-trimethyl-2-oxo-11-oxa-3,8-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]-4-phenylbenzamide",,,,,,0,MNXM583845
beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside,beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside,HMDB0029930,21932711,,OCC1OC(CO)(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,1,MNXM737460
1-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol)(1-),,,,,,0,MNXM739930
Lonijaposide E,,,,,,0,MNXM106291
FR901465,,,,,,0,MNXM105227
