id,name,id_c,formula,BioCyc_api,name_2,formula_clean
dedol_c,Dehydrodolichol,dedol,"['C55H90O', 'C95H154O']",,Dehydrodolichol,"C55H90O', 'C95H154O"
dolichol_c,Dolichol C15H28O,dolichol,"['C95H156O', 'C55H92O', 'C15H28O']",META:CPD-17840,Dolichol,"C95H156O', 'C55H92O', 'C15H28O"
dhcrm_cho_c,Dihydroceramide,dhcrm_cho,['C18H38NO2RCO'],META:CPD3DJ-82,Dihydroceramide,C18H38NO2RCO
dhdascb_m,Dehydroascorbate,dhdascb,"['C6H5O6', 'C6H6O6']",META:L-DEHYDRO-ASCORBATE,Dehydroascorbate,"C6H5O6', 'C6H6O6"
dhnpthld_c,"1,2-Dihydronaphthalene-1,2-diol",dhnpthld,['X'],,"1,2-Dihydronaphthalene-1,2-diol",X
npthld_c,"Naphthalene-1,2-diol",npthld,['X'],META:NAPHTHALENE-12-DIOL,"Naphthalene-1,2-diol",X
digalsgalside_cho_c,Digalactosylceramidesulfate,digalsgalside_cho,['C30H55NO15SRCO'],META:Digalactosylceramide-sulfate,Digalactosylceramidesulfate,C30H55NO15SRCO
digalsgalside_cho_g,Digalactosylceramidesulfate,digalsgalside_cho,['C30H55NO15SRCO'],META:Digalactosylceramide-sulfate,Digalactosylceramidesulfate,C30H55NO15SRCO
digalside_cho_c,Digalactosylceramide,digalside_cho,['C30H56NO12RCO'],META:Digalactosylceramides,Digalactosylceramide,C30H56NO12RCO
digalside_cho_l,Digalactosylceramide,digalside_cho,['C30H56NO12RCO'],META:Digalactosylceramides,Digalactosylceramide,C30H56NO12RCO
C08276_c,3-(methylthio)propionate,C08276,['C4H7O2S'],META:CPD-7672,3-(methylthio)propionate,C4H7O2S
56iqcrbxlt_c,"5,6-Indolequinone-2-carboxylic acid",56iqcrbxlt,['C9H4NO4'],META:CPD-12374,"5,6-Indolequinone-2-carboxylic acid",C9H4NO4
epo_g,Epo[g],epo,[],,Epo[g],
igg_g,Igg[g],igg,[],,Igg[g],
docosac_c,"Behenate, Docosanoate",docosac,['C22H43O2'],,"Behenate, Docosanoate",C22H43O2
docoscoa_c,Docosanoyl Coenzyme A,docoscoa,['C43H74N7O17P3S'],META:CPD-10279,Docosanoyl Coenzyme A,C43H74N7O17P3S
docoscoa_x,Docosanoyl Coenzyme A,docoscoa,['C43H74N7O17P3S'],META:CPD-10279,Docosanoyl Coenzyme A,C43H74N7O17P3S
Asn_X_Ser_Thr_r,Asn  X  Ser FSLASH Thr l,Asn_X_Ser_Thr,"['XH', 'C4H6N2O2X', 'C5H7N3O3R2']",,Asn  X  Ser FSLASH Thr l,"XH', 'C4H6N2O2X', 'C5H7N3O3R2"
doldp_r,Dolichyl diphosphate,doldp,"['C95H155O7P2', 'C55H91O7P2']",META:CPD-17851,Dolichyl diphosphate,"C95H155O7P2', 'C55H91O7P2"
g3m8mpdol_r,(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,g3m8mpdol,"['C143H238N2O77P2', 'C183H302N2O77P2']",,(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C143H238N2O77P2', 'C183H302N2O77P2"
dolglcp_c,Dolichyl beta-D-glucosyl phosphate,dolglcp,['C101H166O9P'],,Dolichyl beta-D-glucosyl phosphate,C101H166O9P
dolglcp_r,Dolichyl beta-D-glucosyl phosphate,dolglcp,['C101H166O9P'],,Dolichyl beta-D-glucosyl phosphate,C101H166O9P
g1m8mpdol_r,Alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,g1m8mpdol,"['C131H218N2O67P2', 'C171H282N2O67P2']",,Alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C131H218N2O67P2', 'C171H282N2O67P2"
m8mpdol_r,(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,m8mpdol,"['C125H208N2O62P2', 'C165H272N2O62P2']",,(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C125H208N2O62P2', 'C165H272N2O62P2"
g2m8mpdol_r,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,g2m8mpdol,"['C177H292N2O72P2', 'C137H228N2O72P2']",,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C177H292N2O72P2', 'C137H228N2O72P2"
dolichol_r,Dolichol C15H28O,dolichol,"['C95H156O', 'C55H92O', 'C15H28O']",META:CPD-17840,Dolichol,"C95H156O', 'C55H92O', 'C15H28O"
m4mpdol_r,(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,m4mpdol,"['C141H232N2O42P2', 'C101H168N2O42P2']",,(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C141H232N2O42P2', 'C101H168N2O42P2"
m5mpdol_r,(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,m5mpdol,"['C147H242N2O47P2', 'C107H178N2O47P2']",,(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C147H242N2O47P2', 'C107H178N2O47P2"
m7mpdol_r,(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,m7mpdol,"['C159H262N2O57P2', 'C119H198N2O57P2']",,(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,"C159H262N2O57P2', 'C119H198N2O57P2"
dtmp_n,DTMP C10H13N2O8P,dtmp,['C10H13N2O8P'],META:TMP,DTMP,C10H13N2O8P
1glyc_cho_e,1 acyl phosphoglycerol,1glyc_cho,['C6H13O7PRCO2'],,1 acyl phosphoglycerol,C6H13O7PRCO2
3deccrn_e,3-hydroxydecanoylcarnitine,3deccrn,['C17H33NO5'],,3-hydroxydecanoylcarnitine,C17H33NO5
4abutn_e,4-Aminobutanal,4abutn,['C4H10NO'],META:4-AMINO-BUTYRALDEHYDE,4-Aminobutanal,C4H10NO
5mta_e,5-Methylthioadenosine,5mta,['C11H15N5O3S'],META:5-METHYLTHIOADENOSINE,5-Methylthioadenosine,C11H15N5O3S
5oxpro_e,5-Oxoproline,5oxpro,['C5H6NO3'],META:5-OXOPROLINE,5-Oxoproline,C5H6NO3
12HPET_e,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",12HPET,['C20H31O4'],,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",C20H31O4
CE0074_e,Alloxan,CE0074,"['C4H2N2O4', 'C4N2O4']",META:CPD-3684,Alloxan,"C4H2N2O4', 'C4N2O4"
CE1926_e,Gama-carboxyethyl-hydroxychroman,CE1926,['C15H19O4'],,Gama-carboxyethyl-hydroxychroman,C15H19O4
CE1939_e,Spermidine monoaldehyde 1,CE1939,['C7H18N2O'],,Spermidine monoaldehyde 1,C7H18N2O
CE1943_e,Spermidine dialdehyde,CE1943,['C7H14NO2'],,Spermidine dialdehyde,C7H14NO2
CE2011_e,Hypothiocyanite,CE2011,['CHNOS'],,Hypothiocyanite,CHNOS
CE2250_e,3-oxodocosanoyl-CoA(4-),CE2250,['C43H72N7O18P3S'],META:CPD-10283,3-oxodocosanoyl-CoA(4-),C43H72N7O18P3S
CE2838_e,Maltononaose,CE2838,['C54H92O46'],,Maltononaose,C54H92O46
CE2839_e,Maltodecaose,CE2839,['C60H102O51'],,Maltodecaose,C60H102O51
CE2917_e,Apelin-13,CE2917,['C69H114N23O16S'],,Apelin-13,C69H114N23O16S
CE4633_e,Hypochlorous acid,CE4633,['ClHO'],META:CPD-12799,Hypochlorous acid,ClHO
CE4723_e,Neocasomorphin (1-5),CE4723,['C29H40N5O9'],,Neocasomorphin (1-5),C29H40N5O9
CE5788_e,Kinetensin 1-7,CE5788,['C41H67N15O9'],,Kinetensin 1-7,C41H67N15O9
CE5789_e,Kinetensin 1-8,CE5789,['C50H76N16O10'],,Kinetensin 1-8,C50H76N16O10
CE5797_e,Neuromedin N,CE5797,['C32H51N5O7'],,Neuromedin N,C32H51N5O7
CE5867_e,N-acetyl-seryl-aspartyl-lysyl-proline,CE5867,['C20H32N5O9'],,N-acetyl-seryl-aspartyl-lysyl-proline,C20H32N5O9
CE5869_e,Lysyl-proline,CE5869,['C11H22N3O3'],,Lysyl-proline,C11H22N3O3
HC00004_e,ApoA1,HC00004,['X'],,ApoA1,X
HC00229_e,Isomaltose,HC00229,['C12H22O11'],META:Isomaltose,Isomaltose,C12H22O11
HC00250_e,Hydrosulfide,HC00250,['HS'],,Hydrosulfide,HS
HC00822_e,Chitobiose,HC00822,['C16H28N2O11'],META:CHITOBIOSE,Chitobiose,C16H28N2O11
HC01440_e,3-Keto-beta-D-galactose,HC01440,['C6H10O6'],META:CPD-1242,3-Keto-beta-D-galactose,C6H10O6
HC01441_e,Lactose-6P,HC01441,['C12H21O14P'],META:LACTOSE-6P,Lactose-6P,C12H21O14P
HC01577_e,Gamma-Glutamyl-beta-cyanoalanine,HC01577,"['C9H12N3O5', 'X']",,Gamma-Glutamyl-beta-cyanoalanine,"C9H12N3O5', 'X"
cpppg1_e,Coproporphyrinogen I,cpppg1,['C36H40N4O8'],META:COPROPORPHYRINOGEN_I,Coproporphyrinogen I,C36H40N4O8
HC02154_e,GM4-pool,HC02154,['X'],,GM4-pool,X
HC02172_e,Zinc,HC02172,['Zn'],META:ZN+2,Zinc,Zn
wharachd_e,W-hydroxyl arachidonic acid,wharachd,['C20H31O3'],,W-hydroxyl arachidonic acid,C20H31O3
HC02187_e,Reverse-triiodthyronine,HC02187,['C15H12I3NO4'],,Reverse-triiodthyronine,C15H12I3NO4
HC02191_e,Lithocholate,HC02191,['C24H39O3'],META:CPD-7235,Lithocholate,C24H39O3
HC02192_e,Taurolithocholate,HC02192,['C26H44NO5S'],META:TAUROLITHOCHOLATE,Taurolithocholate,C26H44NO5S
HC02194_e,Ursodeoxycholate,HC02194,"['C24H39O4', 'X']",META:CPD-10534,Ursodeoxycholate,"C24H39O4', 'X"
HC02195_e,Tauroursodeoxycholate,HC02195,"['C26H45NO6S', 'X']",META:CPD-18799,Tauroursodeoxycholate,"C26H45NO6S', 'X"
HC02196_e,Glycoursodeoxycholate,HC02196,"['C26H43NO5', 'X']",,Glycoursodeoxycholate,"C26H43NO5', 'X"
HC02197_e,Sulfoglycolithocholate(2-),HC02197,['C26H41NO7S'],META:GLYCOLITHOCHOLATE-3-SULFATES,Sulfoglycolithocholate(2-),C26H41NO7S
HC02199_e,Glutathionyl-leuc4,HC02199,['X'],,Glutathionyl-leuc4,X
HC02200_e,S-glutathionyl-2-4-dinitrobenzene,HC02200,"['C16H17N5O10S', 'X']",,S-glutathionyl-2-4-dinitrobenzene,"C16H17N5O10S', 'X"
HC02201_e,S-glutathionyl-ethacrynic-acid,HC02201,"['C23H25Cl2N3O9S', 'X']",,S-glutathionyl-ethacrynic-acid,"C23H25Cl2N3O9S', 'X"
HC02203_e,Prostaglandin A2,HC02203,['C20H29O4'],,Prostaglandin A2,C20H29O4
HC02204_e,Prostaglandin-b1,HC02204,['C20H31O4'],,Prostaglandin-b1,C20H31O4
HC02207_e,Prostaglandin-c2,HC02207,['C20H29O4'],,Prostaglandin-c2,C20H29O4
HC02210_e,Prostaglandin-d3,HC02210,['C20H29O5'],,Prostaglandin-d3,C20H29O5
HC02220_e,Sulfochenodeoxycholate,HC02220,"['C24H38O7S', 'X']",,Sulfochenodeoxycholate,"C24H38O7S', 'X"
acgalfucgalacgalfuc12gal14acglcgalgluside_cho_e,Type IIIA glycolipid,acgalfucgalacgalfuc12gal14acglcgalgluside_cho,['C78H135N4O45RCO'],,Type IIIA glycolipid,C78H135N4O45RCO
acn13acngalgbside_cho_e,"Sialyl (1,3) sialyl (2,6) galactosylgloboside",acn13acngalgbside_cho,['C72H121N4O43RCO'],,"Sialyl (1,3) sialyl (2,6) galactosylgloboside",C72H121N4O43RCO
acnacngal14acglcgalgluside_cho_e,"3',8'-LD1",acnacngal14acglcgalgluside_cho,['C66H111N4O38RCO'],,"3',8'-LD1",C66H111N4O38RCO
acnacngalgbside_cho_e,Disialyl galactosylgloboside,acnacngalgbside_cho,['C72H121N4O43RCO'],,Disialyl galactosylgloboside,C72H121N4O43RCO
ahcys_e,S-Adenosyl-L-homocysteine,ahcys,['C14H20N6O5S'],META:ADENOSYL-HOMO-CYS,S-Adenosyl-L-homocysteine,C14H20N6O5S
c8crn_e,Octanoyl carnitine,c8crn,['C15H29NO4'],,Octanoyl carnitine,C15H29NO4
