id,name,id_c,formula,BioCyc_api,name_2,formula_clean
CE5776_c,Iso-A2E(11'-cis),CE5776,,,Iso-A2E(11'-cis),
CE1294_m,27alpha-hydroxy-8-dehydrocholesterol,CE1294,,,27alpha-hydroxy-8-dehydrocholesterol,
CE1297_m,"8-dehydrocholesterol; 3beta-Cholesta-5,8-dien-3-ol",CE1297,,,"8-dehydrocholesterol; 3beta-Cholesta-5,8-dien-3-ol",
CE2964_c,"5,8-epoxy-13-cis-retinoate",CE2964,,,"5,8-epoxy-13-cis-retinoate",
CE5014_c,Anhydroretinol,CE5014,,,Anhydroretinol,
CE5788_c,Kinetensin 1-7,CE5788,,,Kinetensin 1-7,
CE5794_c,Neuromedin B; Gly-Asn-Leu,CE5794,,,Neuromedin B; Gly-Asn-Leu,
CE5795_c,Neuromedin B (1-3),CE5795,,,Neuromedin B (1-3),
CE5796_c,Neuromedin B (4-10),CE5796,,,Neuromedin B (4-10),
CE5797_c,Neuromedin N,CE5797,,,Neuromedin N,
CE5798_c,Neuromedin N (1-4),CE5798,,,Neuromedin N (1-4),
CE5456_c,(R)-2-hydroxy-4-methylpentanoate,CE5456,,,(R)-2-hydroxy-4-methylpentanoate,
C03958_e,Thyrotropin releasing hormone,C03958,,,Thyrotropin releasing hormone,
CE5820_e,Histidyl-prolinamide,CE5820,,,Histidyl-prolinamide,
CE5241_x,2-hydroxy-17beta-estradiol-1-S-glutathione,CE5241,,,2-hydroxy-17beta-estradiol-1-S-glutathione,
CE5240_c,2-hydroxyestrone-4-S-glutathione,CE5240,,,2-hydroxyestrone-4-S-glutathione,
CE5240_r,2-hydroxyestrone-4-S-glutathione,CE5240,,,2-hydroxyestrone-4-S-glutathione,
CE5240_x,2-hydroxyestrone-4-S-glutathione,CE5240,,,2-hydroxyestrone-4-S-glutathione,
CE1937_c,Spermic acid 1,CE1937,,,Spermic acid 1,
CE4936_c,N-acetyl-leukotriene E4,CE4936,,,N-acetyl-leukotriene E4,
CE5835_c,8alpha-hydroxytocopherone,CE5835,,,8alpha-hydroxytocopherone,
CE5837_c,"7,8-epoxy-8alpha-hydroperoxytocopherone",CE5837,,,"7,8-epoxy-8alpha-hydroperoxytocopherone",
CE5838_c,"5,6-epoxy-alpha-tocopheryl quinone",CE5838,,,"5,6-epoxy-alpha-tocopheryl quinone",
CE1926_r,Gama-carboxyethyl-hydroxychroman,CE1926,,,Gama-carboxyethyl-hydroxychroman,
CE5854_r,Gama-CEHC-glucuronide,CE5854,,,Gama-CEHC-glucuronide,
CE4968_m,Isovalerylglycine,CE4968,,,Isovalerylglycine,
CE4969_m,Isobutyrylglycine,CE4969,,,Isobutyrylglycine,
CE2095_m,3-hydroxykynurenine-O-beta-D-glucoside,CE2095,,,3-hydroxykynurenine-O-beta-D-glucoside,
CE3092_m,Glutathionyl-3-hydroxykynurenine glucoside,CE3092,,,Glutathionyl-3-hydroxykynurenine glucoside,
CE5829_c,5-HT-moduline,CE5829,,,5-HT-moduline,
CE5865_c,L-leucyl-L-serine,CE5865,,,L-leucyl-L-serine,
CE5866_c,L-alanyl-L-leucine,CE5866,,,L-alanyl-L-leucine,
CE5867_c,N-acetyl-seryl-aspartyl-lysyl-proline,CE5867,,,N-acetyl-seryl-aspartyl-lysyl-proline,
CE5868_c,N-acetyl-seryl-aspartate,CE5868,,,N-acetyl-seryl-aspartate,
CE5869_c,Lysyl-proline,CE5869,,,Lysyl-proline,
CE5016_c,"13,14-dihydroxy-retinol",CE5016,,,"13,14-dihydroxy-retinol",
CE2102_c,Lipoyllysine,CE2102,,,Lipoyllysine,
C06948_c,Diazepam,C06948,,,Diazepam,
C07486_c,Nordazepam,C07486,,,Nordazepam,
C09209_c,Harman,C09209,,,Harman,
CE3087_c,Beta-carboline,CE3087,,,Beta-carboline,
C06453_c,Methylcobalamin,C06453,,,Methylcobalamin,
CE4633_c,Hypochlorous acid,CE4633,,,Hypochlorous acid,
CE4633_l,Hypochlorous acid,CE4633,,,Hypochlorous acid,
cl_l,Chloride,cl,,,Chloride,
CE4633_n,Hypochlorous acid,CE4633,,,Hypochlorous acid,
cl_n,Chloride,cl,,,Chloride,
CE4881_c,Nitryl chloride,CE4881,,,Nitryl chloride,
CE4881_l,Nitryl chloride,CE4881,,,Nitryl chloride,
no2_l,Nitrite,no2,,,Nitrite,
CE4881_n,Nitryl chloride,CE4881,,,Nitryl chloride,
no2_n,Nitrite,no2,,,Nitrite,
CE5541_c,Adrenochrome o-semiquinone,CE5541,,,Adrenochrome o-semiquinone,
CE5538_c,Noradrenochrome,CE5538,,,Noradrenochrome,
CE5542_c,Noradrenochrome o-semiquinone,CE5542,,,Noradrenochrome o-semiquinone,
CE5536_x,Adrenochrome,CE5536,,,Adrenochrome,
CE5546_x,5-S-glutathionyl-adrenochrome hydroquinone,CE5546,,,5-S-glutathionyl-adrenochrome hydroquinone,
CE5547_c,5-S-glutathionyl-noradrenochrome hydroquinone,CE5547,,,5-S-glutathionyl-noradrenochrome hydroquinone,
CE5538_x,Noradrenochrome,CE5538,,,Noradrenochrome,
CE5547_x,5-S-glutathionyl-noradrenochrome hydroquinone,CE5547,,,5-S-glutathionyl-noradrenochrome hydroquinone,
CE5544_x,5-S-glutathionyl-dopachrome hydroquinone,CE5544,,,5-S-glutathionyl-dopachrome hydroquinone,
L_dpchrm_x,L-Dopachrome,L_dpchrm,,,L-Dopachrome,
CE5545_c,5-S-glutathionyl-aminochrome reduced,CE5545,,,5-S-glutathionyl-aminochrome reduced,
CE4888_x,Dopaminochrome,CE4888,,,Dopaminochrome,
CE5545_x,5-S-glutathionyl-aminochrome reduced,CE5545,,,5-S-glutathionyl-aminochrome reduced,
CE6205_c,5-methoxytryptophol,CE6205,,,5-methoxytryptophol,
CE2949_c,"Oxoxanthurenate; 8-Hydroxy-4-oxo-3,4-dihydro-2-quinolinecarboxylate",CE2949,,,"Oxoxanthurenate; 8-Hydroxy-4-oxo-3,4-dihydro-2-quinolinecarboxylate",
CE2947_c,Xanthurenate-8-O-beta-D-glucoside,CE2947,,,Xanthurenate-8-O-beta-D-glucoside,
CE2615_r,"2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline",CE2615,,,"2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline",
CE2616_r,"2-hydroxyamino-MeIQx-N2-(beta-1-glucosiduronyl)-2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline",CE2616,,,"2-hydroxyamino-MeIQx-N2-(beta-1-glucosiduronyl)-2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline",
CE1274_c,"3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one",CE1274,,,"3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one",
CE1554_c,N-acetyl-L-alanine,CE1554,,,N-acetyl-L-alanine,
CE5986_c,5-nitro-gama-tocopherol,CE5986,,,5-nitro-gama-tocopherol,
CE7047_c,Gama-tocopheroxyl radical,CE7047,,,Gama-tocopheroxyl radical,
C01747_l,Psychosine(1+); Galactosylsphingosine,C01747,,,Psychosine(1+); Galactosylsphingosine,
C01747_c,Psychosine(1+); Galactosylsphingosine,C01747,,,Psychosine(1+); Galactosylsphingosine,
C02744_c,Psychosine sulfate,C02744,,,Psychosine sulfate,
C03405_c,Lactosylceramide sulfate,C03405,,,Lactosylceramide sulfate,
C05284_m,"11beta-Hydroxyandrost-4-ene-3,17-dione",C05284,,,"11beta-Hydroxyandrost-4-ene-3,17-dione",
CE3075_c,Sorbitol 3-phosphate,CE3075,,,Sorbitol 3-phosphate,
CE6426_c,7-peroxy-docosahexaenoate,CE6426,,,7-peroxy-docosahexaenoate,
CE6438_c,16-peroxy-docosahexaenoate,CE6438,,,16-peroxy-docosahexaenoate,
CE6420_c,8-peroxy-docosahexaenoate,CE6420,,,8-peroxy-docosahexaenoate,
CE6450_c,17-hydroperoxy-H4-neuroprostane,CE6450,,,17-hydroperoxy-H4-neuroprostane,
CE6452_c,4-hydroxy-E4-neuroprostane,CE6452,,,4-hydroxy-E4-neuroprostane,
CE6456_c,11-hydroxy-E4-neuroprostane,CE6456,,,11-hydroxy-E4-neuroprostane,
CE6462_c,13-hydroxy-E4-neuroprostane,CE6462,,,13-hydroxy-E4-neuroprostane,
CE6463_c,13-hydroxy-D4-neuroprostane,CE6463,,,13-hydroxy-D4-neuroprostane,
CE6464_c,17-hydroxy-E4-neuroprostane,CE6464,,,17-hydroxy-E4-neuroprostane,
CE6465_c,17-hydroxy-D4-neuroprostane,CE6465,,,17-hydroxy-D4-neuroprostane,
CE6467_c,20-hydroxy-D4-neuroprostane,CE6467,,,20-hydroxy-D4-neuroprostane,
C02147_c,Dihydrolipoate,C02147,,,Dihydrolipoate,
CE0692_c,3-oxolaur-cis-5-enoyl-CoA,CE0692,,,3-oxolaur-cis-5-enoyl-CoA,
CE2597_c,3(S)-3-hydroxydodecen-(5Z)-oyl-CoA,CE2597,,,3(S)-3-hydroxydodecen-(5Z)-oyl-CoA,
CE0955_r,6-oxo-prostaglandin F1alpha,CE0955,,,6-oxo-prostaglandin F1alpha,
pail45p_cho_g,"Phosphatidylinositol 4,5-bisphosphate",pail45p_cho,,,"Phosphatidylinositol 4,5-bisphosphate",
CE2056_c,20-dihydroxyleukotriene B4,CE2056,,,20-dihydroxyleukotriene B4,
CE3554_c,20-trihydroxy-leukotriene-B4,CE3554,,,20-trihydroxy-leukotriene-B4,
CE5138_c,12-oxo-20-hydroxy-leukotriene B4,CE5138,,,12-oxo-20-hydroxy-leukotriene B4,
C06315_r,Lipoxin B4(1-),C06315,,,Lipoxin B4(1-),
dopa_x,Dopamine,dopa,,,Dopamine,
CE5114_c,"Trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",CE5114,,,"Trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",
CE5114_r,"Trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",CE5114,,,"Trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",
CE4811_c,"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA",CE4811,,,"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA",
C04295_c,"Androst-5-ene-3beta,17beta-diol",C04295,,,"Androst-5-ene-3beta,17beta-diol",
CE4830_c,"2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA",CE4830,,,"2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA",
CE4837_c,"Tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA",CE4837,,,"Tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA",
CE4837_r,"Tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA",CE4837,,,"Tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA",
CE4835_c,"2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA",CE4835,,,"2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA",
CE4847_c,"Cis,cis,cis-10,13,16-docosatrienoyl-CoA",CE4847,,,"Cis,cis,cis-10,13,16-docosatrienoyl-CoA",
CE4850_c,"3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA",CE4850,,,"3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA",
CE4848_c,"3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA",CE4848,,,"3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA",
CE4853_c,"Trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",CE4853,,,"Trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",
CE4853_r,"Trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",CE4853,,,"Trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",
CE4855_r,"All-cis-12,15,18,21-tetracosatetraenoyl-CoA",CE4855,,,"All-cis-12,15,18,21-tetracosatetraenoyl-CoA",
CE1562_c,"5,6-indolequinone-2-carboxylate",CE1562,,,"5,6-indolequinone-2-carboxylate",
CE5148_c,3(S)-hydroxy-11-cis-eicosenoyl-CoA,CE5148,,,3(S)-hydroxy-11-cis-eicosenoyl-CoA,
CE5150_c,"Trans,cis-2,11-eicosadienoyl-CoA",CE5150,,,"Trans,cis-2,11-eicosadienoyl-CoA",
C06199_c,Hordenine,C06199,,,Hordenine,
CE6316_c,"N,N-dimethyldopaminequinone",CE6316,,,"N,N-dimethyldopaminequinone",
CE5160_r,3-oxo-cis-9-octadecenoyl-CoA,CE5160,,,3-oxo-cis-9-octadecenoyl-CoA,
CE5162_c,"Trans,cis-2,9-octadecadienoyl-CoA",CE5162,,,"Trans,cis-2,9-octadecadienoyl-CoA",
CE2049_c,"12,13-hydroxyoctadec-9(Z)-enoate",CE2049,,,"12,13-hydroxyoctadec-9(Z)-enoate",
CE2047_c,"9,10-hydroxyoctadec-12(Z)-enoate",CE2047,,,"9,10-hydroxyoctadec-12(Z)-enoate",
C14825_r,9(10)-EpOME,C14825,,,9(10)-EpOME,
CE2047_r,"9,10-hydroxyoctadec-12(Z)-enoate",CE2047,,,"9,10-hydroxyoctadec-12(Z)-enoate",
CE2305_r,12-hydroxy-13-O-D-glucuronoside-octadec-9Z-enoate,CE2305,,,12-hydroxy-13-O-D-glucuronoside-octadec-9Z-enoate,
CE2303_r,9-hydroxy-10-O-D-glucuronoside-12Z-octadecenoate,CE2303,,,9-hydroxy-10-O-D-glucuronoside-12Z-octadecenoate,
CE6317_c,"N,N-dimethylindoliumolate",CE6317,,,"N,N-dimethylindoliumolate",
CE2304_r,10-hydroxy-octadec-12Z-enoate-9-beta-D-glucuronide,CE2304,,,10-hydroxy-octadec-12Z-enoate-9-beta-D-glucuronide,
C14770_c,"11,12-EET",C14770,,,"11,12-EET",
C14770_r,"11,12-EET",C14770,,,"11,12-EET",
CE6219_c,Gama-tocopheryl quinone,CE6219,,,Gama-tocopheryl quinone,
CE7101_c,8alpha-hydroxy-gama-tocopherone,CE7101,,,8alpha-hydroxy-gama-tocopherone,
ser__L_g,L-Serine,ser__L,,,L-Serine,
CE2446_m,6E-12-epi-leukotriene B4,CE2446,,,6E-12-epi-leukotriene B4,
CE5349_m,5-oxo-6E-12-epi-leukotriene B4,CE5349,,,5-oxo-6E-12-epi-leukotriene B4,
CE2446_x,6E-12-epi-leukotriene B4,CE2446,,,6E-12-epi-leukotriene B4,
CE5347_m,"5-oxo-12(R)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA",CE5347,,,"5-oxo-12(R)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA",
CE5348_m,"5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",CE5348,,,"5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",
CE5348_r,"5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",CE5348,,,"5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",
CE5344_c,"3(S),12(R)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA",CE5344,,,"3(S),12(R)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA",
CE5345_c,"3,5-dioxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",CE5345,,,"3,5-dioxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",
CE5329_m,"3(S),12(S)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA",CE5329,,,"3(S),12(S)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA",
CE5331_m,"3,5-dioxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",CE5331,,,"3,5-dioxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA",
CE5341_m,"5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA",CE5341,,,"5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA",
CE5337_m,"3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA",CE5337,,,"3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA",
CE5319_m,"3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoate",CE5319,,,"3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoate",
CE6415_c,11-HpODE,CE6415,,,11-HpODE,
CE2006_c,4-hydroxy-2-nonenal,CE2006,,,4-hydroxy-2-nonenal,
CE6506_c,"3,4-epoxynonanal",CE6506,,,"3,4-epoxynonanal",
CE4876_m,Delta12-Prostaglandin J2,CE4876,,,Delta12-Prostaglandin J2,
CE5304_c,15-deoxy-PGD2,CE5304,,,15-deoxy-PGD2,
CE4988_m,"10,11-dihydro-12-epi-leukotriene B4",CE4988,,,"10,11-dihydro-12-epi-leukotriene B4",
CE5945_r,"10,11-dihydro-20-dihydroxy-LTB4",CE5945,,,"10,11-dihydro-20-dihydroxy-LTB4",
CE5946_r,"10,11-dihydro-20-trihydroxy-leukotriene B4",CE5946,,,"10,11-dihydro-20-trihydroxy-leukotriene B4",
CE5966_x,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",CE5966,,,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",
CE5967_c,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA",CE5967,,,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA",
CE5968_c,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate",CE5968,,,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate",
CE5971_m,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",CE5971,,,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",
CE5971_x,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",CE5971,,,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",
CE5966_c,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",CE5966,,,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",
CE5971_c,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",CE5971,,,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",
avite2_r,Alpha-Tocotrienol,avite2,,,Alpha-Tocotrienol,
CE7097_x,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",CE7097,,,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",
CE5815_c,20-hydroxy-5S-HETE,CE5815,,,20-hydroxy-5S-HETE,
C04805_n,5(S)-HETE,C04805,,,5(S)-HETE,
CE7096_n,"5,15-DiHETE",CE7096,,,"5,15-DiHETE",
CE6508_c,5-hydroperoxy-EPA,CE6508,,,5-hydroperoxy-EPA,
CE7079_c,Leukotriene A5,CE7079,,,Leukotriene A5,
CE7091_x,15(R)-hydroperoxy-EPE,CE7091,,,15(R)-hydroperoxy-EPE,
CE7083_c,Leukotriene B5,CE7083,,,Leukotriene B5,
CE7084_c,"5,12-dihydroxy-6E-LTB5",CE7084,,,"5,12-dihydroxy-6E-LTB5",
CE7081_n,15(R)-HEPE,CE7081,,,15(R)-HEPE,
CE7109_n,"5(S),6(S)-epoxy-15(R)-HEPE",CE7109,,,"5(S),6(S)-epoxy-15(R)-HEPE",
CE7081_r,15(R)-HEPE,CE7081,,,15(R)-HEPE,
CE7109_r,"5(S),6(S)-epoxy-15(R)-HEPE",CE7109,,,"5(S),6(S)-epoxy-15(R)-HEPE",
CE7110_c,"5,6-epoxy,18R-HEPE",CE7110,,,"5,6-epoxy,18R-HEPE",
CE7114_c,"5,12,18R-TriHEPE",CE7114,,,"5,12,18R-TriHEPE",
CE7109_c,"5(S),6(S)-epoxy-15(R)-HEPE",CE7109,,,"5(S),6(S)-epoxy-15(R)-HEPE",
CE7113_c,15-epi-lipoxin B5,CE7113,,,15-epi-lipoxin B5,
CE7113_r,15-epi-lipoxin B5,CE7113,,,15-epi-lipoxin B5,
CE7113_x,15-epi-lipoxin B5,CE7113,,,15-epi-lipoxin B5,
CE7112_c,15-epi-lipoxin A5,CE7112,,,15-epi-lipoxin A5,
CE7112_r,15-epi-lipoxin A5,CE7112,,,15-epi-lipoxin A5,
CE7085_x,5-HEPE; 5-hydroxyeicosapentaenoate,CE7085,,,5-HEPE; 5-hydroxyeicosapentaenoate,
CE7111_x,5-oxo-EPE,CE7111,,,5-oxo-EPE,
CE7115_c,20-hydroxy-leukotriene B5,CE7115,,,20-hydroxy-leukotriene B5,
CE7083_r,Leukotriene B5,CE7083,,,Leukotriene B5,
CE7115_r,20-hydroxy-leukotriene B5,CE7115,,,20-hydroxy-leukotriene B5,
CE0347_n,12-hydroxyeicosatetraenoate,CE0347,,,12-hydroxyeicosatetraenoate,
leuktrB4_n,Leukotriene B4(1-),leuktrB4,,,Leukotriene B4(1-),
CE6248_c,20-OH-hepoxilin A3,CE6248,,,20-OH-hepoxilin A3,
C04849_r,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate",C04849,,,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate",
CE6248_r,20-OH-hepoxilin A3,CE6248,,,20-OH-hepoxilin A3,
C04843_c,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",C04843,,,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",
C04843_r,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",C04843,,,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",
C04843_x,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",C04843,,,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",
12HPET_m,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",12HPET,,,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",
CE6250_r,Hepoxilin A3-C,CE6250,,,Hepoxilin A3-C,
CE6251_r,"12,20-DiHETE",CE6251,,,"12,20-DiHETE",
CE6240_r,9-deoxy-delta12-PGD2,CE6240,,,9-deoxy-delta12-PGD2,
CE6241_r,S-(9-deoxy-delta12-PGD2)-glutathione,CE6241,,,S-(9-deoxy-delta12-PGD2)-glutathione,
CE6243_c,"S-(9-deoxy-delta9,12-PGD2)-glutathione",CE6243,,,"S-(9-deoxy-delta9,12-PGD2)-glutathione",
CE6243_m,"S-(9-deoxy-delta9,12-PGD2)-glutathione",CE6243,,,"S-(9-deoxy-delta9,12-PGD2)-glutathione",
CE6243_r,"S-(9-deoxy-delta9,12-PGD2)-glutathione",CE6243,,,"S-(9-deoxy-delta9,12-PGD2)-glutathione",
CE6245_c,"S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione",CE6245,,,"S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione",
CE5994_x,20-oxo-leukotriene E4,CE5994,,,20-oxo-leukotriene E4,
CE5995_x,20-COOH-leukotriene E4,CE5995,,,20-COOH-leukotriene E4,
CE6235_c,S-(PGA2)-glutathione,CE6235,,,S-(PGA2)-glutathione,
CE6185_x,Omega-carboxy-trinor-leukotriene B4,CE6185,,,Omega-carboxy-trinor-leukotriene B4,
CE6182_c,20-CoA-20-oxo-leukotriene B4,CE6182,,,20-CoA-20-oxo-leukotriene B4,
CE2516_c,"(8Z,11Z,14Z)-eicosatrienoic acid",CE2516,,,"(8Z,11Z,14Z)-eicosatrienoic acid",
CE2516_r,"(8Z,11Z,14Z)-eicosatrienoic acid",CE2516,,,"(8Z,11Z,14Z)-eicosatrienoic acid",
CE6232_r,Prostaglandin G1,CE6232,,,Prostaglandin G1,
CE6198_x,"16,18-oxo-18-CoA-dinor-LTE4",CE6198,,,"16,18-oxo-18-CoA-dinor-LTE4",
CE6226_x,16(S)-hydroxy-18-oxo-18-CoA-LTE4,CE6226,,,16(S)-hydroxy-18-oxo-18-CoA-LTE4,
CE6193_x,18-carboxy-dinor-LTE4,CE6193,,,18-carboxy-dinor-LTE4,
CE6225_x,16E-18-oxo-18-CoA-dinor-LTE4,CE6225,,,16E-18-oxo-18-CoA-dinor-LTE4,
CE5525_m,12-oxo-20-carboxy-leukotriene B4,CE5525,,,12-oxo-20-carboxy-leukotriene B4,
CE5976_m,"12-oxo-10,11-dihydro-20-COOH-LTB4",CE5976,,,"12-oxo-10,11-dihydro-20-COOH-LTB4",
CE2088_c,N-acetyl-S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,CE2088,,,N-acetyl-S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,
CE2089_c,S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,CE2089,,,S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,
CE7218_c,S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate,CE7218,,,S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate,
C05708_c,Selenomethionine se-oxide,C05708,,,Selenomethionine se-oxide,
C05708_r,Selenomethionine se-oxide,C05708,,,Selenomethionine se-oxide,
selmeth_r,Selenomethionine,selmeth,,,Selenomethionine,
5mthf_r,5-Methyltetrahydrofolate,5mthf,,,5-Methyltetrahydrofolate,
selhcys_r,Selenohomocysteine,selhcys,,,Selenohomocysteine,
thf_r,"5,6,7,8-Tetrahydrofolate",thf,,,"5,6,7,8-Tetrahydrofolate",
CE5538_r,Noradrenochrome,CE5538,,,Noradrenochrome,
nrpphr_r,Norepinephrine,nrpphr,,,Norepinephrine,
C07535_c,Benzpyrene,C07535,,,Benzpyrene,
C07535_r,Benzpyrene,C07535,,,Benzpyrene,
CN0012_r,"Benzo[a]pyrene-2,3-oxide",CN0012,,,"Benzo[a]pyrene-2,3-oxide",
CN0009_r,"Benzo[a]pyrene-2,3-diol",CN0009,,,"Benzo[a]pyrene-2,3-diol",
CN0009_x,"Benzo[a]pyrene-2,3-diol",CN0009,,,"Benzo[a]pyrene-2,3-diol",
CN0012_x,"Benzo[a]pyrene-2,3-oxide",CN0012,,,"Benzo[a]pyrene-2,3-oxide",
C14851_r,"Benzo[a]pyrene-4,5-oxide",C14851,,,"Benzo[a]pyrene-4,5-oxide",
CN0010_r,"Benzo[a]pyrene-4,5-diol",CN0010,,,"Benzo[a]pyrene-4,5-diol",
C14851_x,"Benzo[a]pyrene-4,5-oxide",C14851,,,"Benzo[a]pyrene-4,5-oxide",
CN0010_x,"Benzo[a]pyrene-4,5-diol",CN0010,,,"Benzo[a]pyrene-4,5-diol",
C14849_x,"Benzo[a]pyrene-9,10-oxide",C14849,,,"Benzo[a]pyrene-9,10-oxide",
CN0011_x,"Benzo[a]pyrene-9,10-diol",CN0011,,,"Benzo[a]pyrene-9,10-diol",
