 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4
MNXR153852,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154175,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154381,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154382,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154383,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154384,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154385,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154386,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154387,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154388,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154389,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154390,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154391,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154392,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154393,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154394,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154395,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154396,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154397,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154398,1,0,0,0,0,0,0,0,0,0,0,0
MNXR154399,1,0,0,0,0,0,0,0,0,0,0,0
